trade_utc,wallet,wallet_label,token_id,condition_id,question,outcome_label,side,role,fill_price,fill_size,book_before_age_s,best_bid_before,best_ask_before,mid_before,spread_before,book_after_age_s,best_bid_after,best_ask_after,context_status,null_reason
2026-07-04T17:44:58+00:00,0x2005d16a84ceefa912d4e380cd32e7ff827875ea,RN1,102051736436656560797672629859737891705962543111476656351708851920203673046762,0xa947b7c696453a288460a8e12aae31b854ca02d0b87970ffc259cec8a9fffcd2,Will Morocco win on 2026-07-04?,Yes,BUY,maker,0.35,7.8575,19,0.34,0.35,0.345,0.01,11,0.35,0.36,weak,
2026-07-04T17:44:58+00:00,0x2005d16a84ceefa912d4e380cd32e7ff827875ea,RN1,102051736436656560797672629859737891705962543111476656351708851920203673046762,0xa947b7c696453a288460a8e12aae31b854ca02d0b87970ffc259cec8a9fffcd2,Will Morocco win on 2026-07-04?,Yes,BUY,maker,0.35,0.538461,19,0.34,0.35,0.345,0.01,11,0.35,0.36,weak,
2026-07-04T17:44:58+00:00,0x2005d16a84ceefa912d4e380cd32e7ff827875ea,RN1,22574033557479727232684177925599885591442189795867764109586668132624383402779,0xb9aeb568d4a29fb7f30ca7b433e928a22c13f9d60f9328ce09709623aa4f0c6b,Canada vs. Morocco: Canada O/U 2.5,Under,BUY,maker,0.978,4526.184,16,0.971,0.978,0.9745,0.007,4,0.971,0.978,weak,
2026-07-04T17:44:55+00:00,0x2005d16a84ceefa912d4e380cd32e7ff827875ea,RN1,92558617592610075024809620259581225959591222778250295886163453827086930306302,0x22f00bf63a3b57f8c774db0cf7560777018551bcbeafa9543c4e6a2c2cf09005,Canada vs. Morocco: O/U 2.5,Over,BUY,maker,0.1800000002186667,16.463414,28,0.18,0.19,0.185,0.01,6,0.17,0.18,weak,
2026-07-04T17:44:55+00:00,0x2005d16a84ceefa912d4e380cd32e7ff827875ea,RN1,92558617592610075024809620259581225959591222778250295886163453827086930306302,0x22f00bf63a3b57f8c774db0cf7560777018551bcbeafa9543c4e6a2c2cf09005,Canada vs. Morocco: O/U 2.5,Over,BUY,maker,0.1800000002186667,16.463414,28,0.18,0.19,0.185,0.01,6,0.17,0.18,weak,
2026-07-04T17:44:53+00:00,0x2005d16a84ceefa912d4e380cd32e7ff827875ea,RN1,92558617592610075024809620259581225959591222778250295886163453827086930306302,0x22f00bf63a3b57f8c774db0cf7560777018551bcbeafa9543c4e6a2c2cf09005,Canada vs. Morocco: O/U 2.5,Over,BUY,maker,0.18,87.5502,26,0.18,0.19,0.185,0.01,8,0.17,0.18,weak,
2026-07-04T17:44:53+00:00,0x2005d16a84ceefa912d4e380cd32e7ff827875ea,RN1,92558617592610075024809620259581225959591222778250295886163453827086930306302,0x22f00bf63a3b57f8c774db0cf7560777018551bcbeafa9543c4e6a2c2cf09005,Canada vs. Morocco: O/U 2.5,Over,BUY,maker,0.1800000002186667,16.463414,26,0.18,0.19,0.185,0.01,8,0.17,0.18,weak,
2026-07-04T17:44:50+00:00,0x2005d16a84ceefa912d4e380cd32e7ff827875ea,RN1,92558617592610075024809620259581225959591222778250295886163453827086930306302,0x22f00bf63a3b57f8c774db0cf7560777018551bcbeafa9543c4e6a2c2cf09005,Canada vs. Morocco: O/U 2.5,Over,BUY,maker,0.18,1.1736,23,0.18,0.19,0.185,0.01,11,0.17,0.18,weak,
2026-07-04T17:44:50+00:00,0x2005d16a84ceefa912d4e380cd32e7ff827875ea,RN1,33273656523310658385604628273683952051264933161377051215866332730972461652012,0x005e6b48f6531902c66785a93c0f849fdaf840ca859f5a08b51187d5f9f73467,Wimbledon ATP: Grigor Dimitrov vs Matteo Berrettini,Matteo Berrettini,BUY,maker,0.31,2.79,343,0.38,0.39,0.385,0.01,,,,stale,book_before_too_old
2026-07-04T17:44:43+00:00,0x2005d16a84ceefa912d4e380cd32e7ff827875ea,RN1,30649231830422683831551774801045673383063206089219620441843620568566718995722,0x0c4334e84edeff507fe1907f7c206a883027983f74b81469fd48d8a7746cec97,Wimbledon ATP: Zizou Bergs vs Arthur Fery,Arthur Fery,BUY,maker,0.772,1956.8656,337,0.43,0.436,0.433,0.006,,,,stale,book_before_too_old
2026-07-04T17:44:43+00:00,0x2005d16a84ceefa912d4e380cd32e7ff827875ea,RN1,30649231830422683831551774801045673383063206089219620441843620568566718995722,0x0c4334e84edeff507fe1907f7c206a883027983f74b81469fd48d8a7746cec97,Wimbledon ATP: Zizou Bergs vs Arthur Fery,Arthur Fery,BUY,maker,0.772,10.09776,337,0.43,0.436,0.433,0.006,,,,stale,book_before_too_old
2026-07-04T17:44:41+00:00,0x2005d16a84ceefa912d4e380cd32e7ff827875ea,RN1,31307193838868775164605761248469504056952639938744991980169462404087039704273,0x0c4334e84edeff507fe1907f7c206a883027983f74b81469fd48d8a7746cec97,Wimbledon ATP: Zizou Bergs vs Arthur Fery,Zizou Bergs,BUY,maker,0.2120000007354667,24.213197,334,0.564,0.57,0.567,0.006,,,,stale,book_before_too_old
2026-07-04T17:44:40+00:00,0x2005d16a84ceefa912d4e380cd32e7ff827875ea,RN1,31307193838868775164605761248469504056952639938744991980169462404087039704273,0x0c4334e84edeff507fe1907f7c206a883027983f74b81469fd48d8a7746cec97,Wimbledon ATP: Zizou Bergs vs Arthur Fery,Zizou Bergs,BUY,maker,0.211,1092.98,333,0.564,0.57,0.567,0.006,,,,stale,book_before_too_old
2026-07-04T17:44:40+00:00,0x2005d16a84ceefa912d4e380cd32e7ff827875ea,RN1,31307193838868775164605761248469504056952639938744991980169462404087039704273,0x0c4334e84edeff507fe1907f7c206a883027983f74b81469fd48d8a7746cec97,Wimbledon ATP: Zizou Bergs vs Arthur Fery,Zizou Bergs,BUY,maker,0.22,1020.778,333,0.564,0.57,0.567,0.006,,,,stale,book_before_too_old
2026-07-04T17:44:38+00:00,0x2005d16a84ceefa912d4e380cd32e7ff827875ea,RN1,31307193838868775164605761248469504056952639938744991980169462404087039704273,0x0c4334e84edeff507fe1907f7c206a883027983f74b81469fd48d8a7746cec97,Wimbledon ATP: Zizou Bergs vs Arthur Fery,Zizou Bergs,BUY,maker,0.22,22,331,0.564,0.57,0.567,0.006,,,,stale,book_before_too_old
2026-07-04T17:44:37+00:00,0x2005d16a84ceefa912d4e380cd32e7ff827875ea,RN1,31307193838868775164605761248469504056952639938744991980169462404087039704273,0x0c4334e84edeff507fe1907f7c206a883027983f74b81469fd48d8a7746cec97,Wimbledon ATP: Zizou Bergs vs Arthur Fery,Zizou Bergs,BUY,maker,0.22,0.44,330,0.564,0.57,0.567,0.006,,,,stale,book_before_too_old
2026-07-04T17:44:37+00:00,0x2005d16a84ceefa912d4e380cd32e7ff827875ea,RN1,31307193838868775164605761248469504056952639938744991980169462404087039704273,0x0c4334e84edeff507fe1907f7c206a883027983f74b81469fd48d8a7746cec97,Wimbledon ATP: Zizou Bergs vs Arthur Fery,Zizou Bergs,BUY,maker,0.22,42.8978,330,0.564,0.57,0.567,0.006,,,,stale,book_before_too_old
2026-07-04T17:44:32+00:00,0x2005d16a84ceefa912d4e380cd32e7ff827875ea,RN1,31307193838868775164605761248469504056952639938744991980169462404087039704273,0x0c4334e84edeff507fe1907f7c206a883027983f74b81469fd48d8a7746cec97,Wimbledon ATP: Zizou Bergs vs Arthur Fery,Zizou Bergs,BUY,maker,0.22,36.3242,325,0.564,0.57,0.567,0.006,,,,stale,book_before_too_old
