,wallet_label,question,fills,notional,estimated_edge_usdc,first_trade,last_trade,unique_tokens,buy_fills,sell_fills,maker_fills,taker_fills,unenriched_fills,duration_minutes,edge_bps
17,RN1,Canada vs. Morocco: Draw at halftime?,15,893.63,27.96,2026-07-04 17:39:35,2026-07-04 17:51:13,2,15,0,15,0,0,11.63,312.85
18,RN1,Canada vs. Morocco: Morocco O/U 0.5,5,6226.81,256.56,2026-07-04 17:59:22,2026-07-04 18:11:14,1,5,0,5,0,0,11.87,412.03
19,RN1,Canada vs. Morocco: Morocco O/U 1.5,3,1446.96,9.3,2026-07-04 17:58:32,2026-07-04 18:09:08,1,3,0,3,0,0,10.6,64.31
20,RN1,Canada vs. Morocco: Morocco O/U 2.5,2,73.72,-2.48,2026-07-04 18:19:43,2026-07-04 18:19:43,1,2,0,0,2,0,0.0,-335.73
21,RN1,Canada vs. Morocco: O/U 0.5,50,9125.52,80.5,2026-07-04 17:39:05,2026-07-04 18:11:19,2,50,0,50,0,0,32.23,88.21
22,RN1,Canada vs. Morocco: O/U 1.5,208,72920.6,1041.39,2026-07-04 17:42:25,2026-07-04 18:45:25,2,208,0,208,0,0,63.0,142.81
23,RN1,Canada vs. Morocco: O/U 2.5,233,84343.96,2796.02,2026-07-04 17:39:17,2026-07-04 19:00:55,2,233,0,224,9,0,81.63,331.5
24,RN1,Canada vs. Morocco: O/U 3.5,65,24323.8,223.05,2026-07-04 17:43:35,2026-07-04 19:00:50,2,65,0,63,2,0,77.25,91.7
25,RN1,Canada vs. Morocco: O/U 4.5,20,10471.9,47.23,2026-07-04 17:42:08,2026-07-04 18:48:23,2,20,0,20,0,0,66.25,45.11
26,RN1,Canada vs. Morocco: O/U 5.5,3,40.77,2.26,2026-07-04 18:08:55,2026-07-04 18:09:56,1,3,0,3,0,0,1.02,555.56
27,RN1,Canada vs. Morocco: Team to Advance,136,51029.83,545.37,2026-07-04 17:29:26,2026-07-04 18:57:50,2,136,0,134,2,0,88.4,106.87
28,RN1,Detroit Tigers vs. Texas Rangers,32,6000.82,52.79,2026-07-04 20:14:35,2026-07-04 21:39:08,2,32,0,29,0,3,84.55,87.97
29,RN1,Detroit Tigers vs. Texas Rangers: O/U 8.5,7,181.27,2.47,2026-07-04 20:29:52,2026-07-04 21:31:04,2,7,0,6,1,0,61.2,136.1
30,RN1,Exact Score: Canada 0 - 0 Morocco?,9,880.31,13.69,2026-07-04 17:44:02,2026-07-04 18:09:56,2,9,0,9,0,0,25.9,155.46
31,RN1,Exact Score: Canada 0 - 1 Morocco?,149,7953.42,97.43,2026-07-04 17:42:44,2026-07-04 18:44:19,2,149,0,148,1,0,61.58,122.5
32,RN1,Exact Score: Canada 0 - 2 Morocco?,246,25719.11,29.98,2026-07-04 17:42:05,2026-07-04 19:00:50,2,246,0,237,9,0,78.75,11.66
33,RN1,Exact Score: Canada 0 - 3 Morocco?,21,3880.58,19.88,2026-07-04 17:56:35,2026-07-04 19:00:38,2,21,0,21,0,0,64.05,51.22
34,RN1,Exact Score: Canada 1 - 0 Morocco?,32,3992.3,33.6,2026-07-04 17:39:13,2026-07-04 18:13:31,2,32,0,30,2,0,34.3,84.15
35,RN1,Exact Score: Canada 1 - 1 Morocco?,50,3852.94,978.12,2026-07-04 17:53:05,2026-07-04 18:44:31,2,50,0,50,0,0,51.43,2538.63
