,wallet_label,token_id,question,outcome_label,buy_shares,sell_shares,buy_notional,sell_notional,total_notional,fills,net_shares,gross_shares,net_to_gross_ratio
138,RN1,71632223088728071164198560444876622481182650786367190732492573444308094933385,Will Canada vs. Morocco end in a draw?,No,44938.02091299999,0.0,40154.026684000004,0.0,40154.026684,34,44938.02091299999,44938.02091299999,1.0
139,RN1,7205289981143850979995161141689912958651295718176299540723444457044093259805,Canada leading at halftime?,Yes,45.71,0.0,3.6567999999999996,0.0,3.6567999999999996,2,45.71,45.71,1.0
140,RN1,73526987366272547338921353506756920868365985985677746134763073517294779721893,Wimbledon WTA: Emma Navarro vs Marta Kostyuk,Marta Kostyuk,697.076922,0.0,515.836923,0.0,515.836923,1,697.076922,697.076922,1.0
141,RN1,73706049451962194767909208240442024684952434525931777661867538971896631929874,Exact Score: Canada 1 - 0 Morocco?,Yes,148.89999999999998,0.0,20.846,0.0,20.846,6,148.89999999999998,148.89999999999998,1.0
142,RN1,73815955277334698565944380751968678433856587469443951348676966611127683215963,Liaoning Tieren FC vs. Chongqing Tonglianglong FC: O/U 2.5,Over,15.0,0.0,6.409619999999999,0.0,6.409619999999999,1,15.0,15.0,1.0
143,RN1,73857401444438674665504240109552814718343715658679403014530436738792456700545,Exact Score: Canada 1 - 2 Morocco?,No,13380.166602,0.0,11858.457728000001,0.0,11858.457728,56,13380.166602,13380.166602,1.0
144,RN1,76310829870437093420871519393771884743551121760931012561797513228569177743911,Exact Score: Canada 0 - 0 Morocco?,Yes,62.634868000000004,0.0,16.721671,0.0,16.721671,2,62.634868000000004,62.634868000000004,1.0
145,RN1,77932061662699145926553990540307681940646874096111706639726279327615061772993,Wimbledon ATP: Frances Tiafoe vs Alexander Bublik,Alexander Bublik,76246.70393500001,0.0,46304.769672999995,0.0,46304.769673,60,76246.70393500001,76246.70393500001,1.0
146,RN1,78231809302880482018753359736859523079365378375558276897798419393531550288936,Morocco leading at halftime?,No,14811.282662,0.0,13919.475115,0.0,13919.475115,18,14811.282662,14811.282662,1.0
147,RN1,79104985989379585760106406509583355251251741959745638027696438174054419659694,Exact Score: Canada 3 - 3 Morocco?,Yes,1563.991,0.0,3.127982,0.0,3.127982,5,1563.991,1563.991,1.0
148,RN1,79459290108508813221587263474415508166981788584547658676588715778394881402387,Paraguay vs. France: Both Teams to Score,Yes,13754.304392000002,0.0,4230.671401000001,0.0,4230.671401,14,13754.304392000002,13754.304392000002,1.0
149,RN1,79481933683995790397808921235737232870251729429638902436601200312159772849373,Paraguay vs. France: O/U 4.5,Under,35.25,0.0,31.02,0.0,31.02,1,35.25,35.25,1.0
150,RN1,81645990641047097551697944360524435927397258122893349674108788404686639185709,Paraguay vs. France: O/U 5.5,Over,4930.344323,0.0,108.945985,0.0,108.945985,4,4930.344323,4930.344323,1.0
151,RN1,81990441143965995787933075588649686316877974637646137606886527009807513123431,Detroit Tigers vs. Texas Rangers,Texas Rangers,528.7582160000001,0.0,95.29542799999999,0.0,95.29542799999999,17,528.7582160000001,528.7582160000001,1.0
152,RN1,82581305583165445250282846436169037266934687407169553604124129186184234934932,Canada vs. Morocco: Canada O/U 1.5,Under,11431.916665,0.0,11060.916666000001,0.0,11060.916666000001,4,11431.916665,11431.916665,1.0
153,RN1,83154521506631446185725680346120902858642328202486262701979519208550175520308,Minnesota Twins vs. New York Yankees,New York Yankees,187.628927,0.0,73.59893,0.0,73.59893,5,187.628927,187.628927,1.0
154,RN1,83220127321873533198184356929379327828655671031900292943128764143512792492895,Detroit Tigers vs. Texas Rangers,Detroit Tigers,7935.222271000001,0.0,5905.521774,0.0,5905.521774000001,15,7935.222271000001,7935.222271000001,1.0
155,RN1,83714513562927395168897154209568915282216703605610486213299164797013407612220,Paraguay vs. France: 1st Half O/U 2.5,Over,12766.011187,0.0,1026.612953,0.0,1026.612953,15,12766.011187,12766.011187,1.0
156,RN1,86446590684263389984735757571445537437808901179603198703006879927326729514834,Canada vs. Morocco: O/U 4.5,Over,15708.511373,0.0,178.769207,0.0,178.769207,13,15708.511373,15708.511373,1.0
157,RN1,88745281657570647211467394150431720197787708232855080042016182159959925211465,Exact Score: Paraguay 2 - 0 France?,Yes,541.21,0.0,2.4060499999999996,0.0,2.40605,6,541.21,541.21,1.0
158,RN1,8920104249180949017043784547406683331617061867643812394376393493240474884812,Canada vs. Morocco: Both Teams to Score,Yes,57217.020777,0.0,15180.375779,0.0,15180.375779,140,57217.020777,57217.020777,1.0
159,RN1,8938773315584451636284605290161771419827784089109361329453132464215102754519,Spread: Canada (-1.5),Morocco,5098.344155,0.0,4832.108089,0.0,4832.108089,13,5098.344155,5098.344155,1.0
160,RN1,89487886876573798452176276697174952677087752893391829861818541740757034484068,Exact Score: Paraguay 2 - 2 France?,No,1020.347356,0.0,992.1424099999999,0.0,992.14241,6,1020.347356,1020.347356,1.0
161,RN1,89565462811586576469181739505923703849233166823230972095099714271256085338091,Canada vs. Morocco: 1st Half O/U 0.5,Under,5412.236967,0.0,5090.482969,0.0,5090.482969,14,5412.236967,5412.236967,1.0
162,RN1,89619733853600214155335419574787423331115008821678889199230689088451948402138,Exact Score: Canada 2 - 1 Morocco?,Yes,945.28,0.0,31.925240000000002,0.0,31.925240000000002,3,945.28,945.28,1.0
